date,open,high,low,close
2024-09-26,2.167e-05,2.188e-05,1.738e-05,1.867e-05
2024-09-30,1.875e-05,2.194e-05,7.87e-06,8.75e-06
2024-10-04,8.87e-06,1.074e-05,5.58e-06,6.33e-06
2024-10-08,6.29e-06,0.00024646,5.43e-06,0.00018747
2024-10-12,0.00017915,0.00023547,0.00010584,0.00013567
2024-10-16,0.00013636,0.00015016,7.379e-05,9.444e-05
2024-10-20,9.527e-05,0.00011755,7.788e-05,8.818e-05
2024-10-24,8.833e-05,0.00012914,6.118e-05,0.00012138
2024-10-28,0.00011887,0.00012196,8.165e-05,8.763e-05
2024-11-01,8.704e-05,9.123e-05,6.34e-05,6.829e-05
2024-11-05,6.838e-05,8.173e-05,5.591e-05,5.782e-05
2024-11-09,5.804e-05,8.328e-05,5.345e-05,6.928e-05
2024-11-13,6.929e-05,0.00011505,6.846e-05,8.83e-05
2024-11-17,8.798e-05,0.00017022,6.938e-05,8.643e-05
2024-11-21,8.661e-05,0.00042076,7.543e-05,0.00032949
2024-11-25,0.00033295,0.00036784,0.00019181,0.00023503
2024-11-29,0.00023686,0.00026854,0.00015872,0.00016267
2024-12-03,0.00016253,0.00020611,0.00014604,0.00016095
2024-12-07,0.0001608,0.00016661,0.00011458,0.00012741
2024-12-11,0.00012724,0.00013858,9.474e-05,0.00010235
2024-12-15,0.00010181,0.0001268,9.263e-05,9.266e-05
2024-12-19,9.286e-05,0.00013577,8.652e-05,9.028e-05
2024-12-23,9.048e-05,0.0001032,7.158e-05,9.288e-05
2024-12-27,9.27e-05,0.00025065,9.088e-05,0.00018584
2024-12-31,0.00018752,0.00023267,0.00014544,0.0001581
2025-01-04,0.00015843,0.00018635,0.00013389,0.0001621
2025-01-08,0.00016372,0.00017157,0.00013942,0.00014181
2025-01-12,0.00014181,0.00014682,0.00010785,0.00012651
2025-01-16,0.00012692,0.00013015,0.00010069,0.00012755
2025-01-20,0.00012777,0.00013531,9.083e-05,9.741e-05
2025-01-24,9.685e-05,0.000108,8.753e-05,9.236e-05
2025-01-28,9.242e-05,9.8e-05,7.433e-05,8.245e-05
2025-02-01,8.272e-05,0.0001009,7.258e-05,9.399e-05
2025-02-05,9.418e-05,9.662e-05,5.433e-05,8.186e-05
2025-02-09,8.193e-05,9.683e-05,7.884e-05,9.024e-05
2025-02-13,9.02e-05,9.02e-05,6.914e-05,7.688e-05
2025-02-17,7.675e-05,7.798e-05,5.553e-05,5.748e-05
2025-02-21,5.742e-05,8.813e-05,5.388e-05,7.388e-05
2025-02-25,7.409e-05,8.799e-05,6.153e-05,6.19e-05
2025-03-01,6.226e-05,6.827e-05,5.668e-05,6.293e-05
2025-03-05,6.324e-05,6.819e-05,4.861e-05,5.418e-05
2025-03-09,5.397e-05,6.024e-05,4.865e-05,5.131e-05
2025-03-13,5.123e-05,5.192e-05,3.407e-05,3.48e-05
2025-03-17,3.467e-05,4.785e-05,2.813e-05,3.453e-05
2025-03-21,3.454e-05,5.296e-05,3.298e-05,4.548e-05
2025-03-25,4.528e-05,4.815e-05,3.812e-05,4.133e-05
2025-03-29,4.123e-05,4.297e-05,3.275e-05,3.393e-05
2025-04-02,3.397e-05,4.3e-05,3.278e-05,3.839e-05
2025-04-06,3.835e-05,3.835e-05,3.164e-05,3.241e-05
2025-04-10,3.233e-05,3.267e-05,2.13e-05,2.701e-05
2025-04-14,2.703e-05,2.958e-05,2.399e-05,2.621e-05
2025-04-18,2.632e-05,2.756e-05,1.961e-05,2.055e-05
2025-04-22,2.052e-05,2.337e-05,1.812e-05,2.092e-05
2025-04-26,2.094e-05,2.999e-05,2.021e-05,2.661e-05
2025-04-30,2.651e-05,3.521e-05,2.601e-05,3.164e-05
2025-05-04,3.178e-05,3.272e-05,2.534e-05,2.564e-05
2025-05-08,2.558e-05,2.776e-05,2.214e-05,2.537e-05
2025-05-12,2.526e-05,4.811e-05,2.515e-05,4.352e-05
2025-05-16,4.367e-05,6.883e-05,4.276e-05,4.422e-05
